,name,enrolled,passed
305,Radiologická fyzika-radioterapie 2 [16RFRT2],7,2
306,Radiologická fyzika-rentgenová diagnostika [16RFRD],8,6
307,Radiologická technika-nukleární medicína [16RTNM],8,1
308,Radiologická technika-rentgenová diagnostika [16RTDG],8,2
309,Radioterapie-klinická praxe 2 [16RTKP2],7,2
310,Regresní analýza dat [01REAN],17,2
311,Regulace a senzory [12RSEN],1,1
312,Relativistická fyzika 1 [02REL1],3,1
313,Rentgenová diagnostika-klinická praxe [16RDKP],6,4
314,Rentgenová diagnostika - klinická praxe pro techniky [16RDKB],6,2
315,Rentgenová fotonika [12RFO],7,4
316,Reprezentace maticových Lieových grup [02REP],14,10
317,Ročníková práce 2 [12ROPR2],1,0
318,Rovnice matematické fyziky [01RMF],75,48
319,Rozhovory o kvark-gluonovém plazmatu 1 [02RQGP1],9,1
320,Rozhovory o kvark-gluonovém plazmatu 3 [02RQGP3],6,6
321,Rozhovory o kvark-gluonovém plazmatu 5 [02RQGP5],3,3
322,Rozvíjení řečových dovedností 1 [04ABK1],33,9
323,Rozvíjení řečových dovedností 3 [04ABK3],9,8
324,Rozvíjení řečových dovedností souhrnná zkouška [04AB3KK],9,8
325,Ruština M1 [04RM1],10,7
326,Ruština M3 [04RM3],3,3
327,Ruština M zkouška [04RMZK],4,0
328,Ruština P1 [04RP1],2,1
329,Ruština P zkouška [04RPZK],1,1
330,Ruština Z2 [04RZ2],28,21
331,Ruština Z4 [04RZ4],17,14
332,Samovolně rostoucí struktury vybraných nanomateriálů [12SRS],1,0
333,Seminář 1 [02SEMI1],11,9
334,Seminář 1 [11SMX1],2,2
335,Seminář 1 [15SEM1],5,4
336,Seminář 1 [16SEM1],13,7
337,Seminář 3 [11SMX3],7,7
338,Seminář FTTF1 [02STF1],2,0
339,Seminář fyzikálního inženýrství pevných látek [11SFIPL],8,8
340,Seminář k bakalářské práci [15SBP],14,0
341,Seminář k bakalářské práci 1 [12SBA1],2,1
342,Seminář k diplomové práci 1 [12DSEIF1],1,1
343,Seminář k diplomové práci 1 [12DSELT1],6,6
344,Seminář k diplomové práci 1 [12DSEOF1],2,0
345,Seminář k diplomové práci 1 [18SDI1],7,7
346,Seminář k diplomové práci 2 [12DSEOF2],1,1
347,Seminář matematické fyziky [02SMF],9,7
348,Seminář současné matematiky 1 [01SSM1],20,18
349,Seminář z dozimetrie 1 [16SED1],15,13
350,Seminář z matematické analýzy B1 [01SMB1],73,67
351,Separační metody v jaderné chemii 1 [15SMJ1],7,7
352,Skenovací elektronová mikroskopie a metody mikrosvazkové analýzy [11SEM],2,1
353,Smart materiály a jejich využití [11SMAM],3,0
354,Sociální systémy a jejich simulace [01SSI],6,3
355,Softcomputing [18SOFC],6,0
356,Softwarové inženýrství [18SWI],4,1
357,Softwarový seminář 1 [01SOS1],28,28
358,Souborná zkouška z matematiky A 1 [01SZMA1],1,0
359,Souborná zkouška z matematiky B [01SZMB],1,0
360,Specializované praktikum 1 [02SPRA1],2,2
361,Speciální polovodičové materiály a součástky [11SMAT],3,1
362,Spektrometrie v dozimetrii [16SPDO],5,5
363,Spolehlivost jaderných elektráren [17SPJE],6,4
364,Správa operačních systémů [818OSY],12,6
365,Statistická optika [12SOP],6,4
366,Statistické metody rozpoznávání a rozhodování [18SROZ],9,5
367,Statistické zpracování dat [02SSD],13,9
368,Stáž v zahraničí [00SST],1,1
369,Stochastické metody [01STOM],1,0
370,Stochastické metody v reaktorové fyzice [17SMRF],3,1
371,Stroje a zařízení jaderných elektráren [17SAZ],7,1
372,Struktura a funkce biologických molekul [11SFBM],2,2
373,Struktura pevných látek 1 [11SPL1],6,5
374,Strukturní analýza 2 [15STA2],5,0
375,Subatomová fyzika [02SF],13,9
376,Supravodivost a fyzika nízkých teplot [11SUPR],8,6
377,Systematizace jazykových prostředků 1 [04ABS1],33,6
378,Systematizace jazykových prostředků 3 [04ABS3],7,7
379,Systematizace jazykových prostředků souhrnná zkouška [04ABSK],7,7
380,Španělština M1 [04SM1],8,5
381,Španělština M3 [04SM3],3,3
382,Španělština M zkouška [04SMZK],4,3
383,Španělština P1 [04SP1],5,5
384,Španělština P3 [04SP3],3,3
385,Španělština P zkouška [04SPZK],4,4
386,Španělština Z2 [04SZ2],12,11
387,Španělština Z4 [04SZ4],8,7
388,Technická mechanika [14TEM],1,0
389,Technická mechanika [14TM],13,11
390,Technologické celky jaderných elektráren 1 [17TCJ1],6,6
391,Technologické celky jaderných elektráren 2 [17TCJ2],4,2
392,Technologie palivového cyklu jaderných elektráren [15TPC],3,3
393,Technologie zpracování odpadů [15TZO],1,0
394,Tělesná výchova 1 [818TV1],3,1
395,Tělesná výchova 3 [818TV3],7,5
396,Teoretická fyzika 1 [02TEF1],124,83
397,Teoretické základy neuronových sítí [01NEUR2],10,1
398,Teoretické základy radiační chemie [15TZRCH],1,0
399,Teorie a konstrukce fotovoltaických článků [11PCPC],6,3
400,Teorie finančních trhů [18TFT],3,2
401,Teorie informace [01TIN],24,18
402,Teorie matic [01TEMA],9,9
403,Teorie náhodných matic [01TNM],14,13
404,Teorie náhodných procesů [01NAH],30,18
405,Teorie pevných látek [11SST],2,2
406,Teorie pevných látek 1 [11TPL1],3,3
407,Teorie plazmatu 1 [02TPLA1],8,8
408,Teorie složitosti [01TSLO],7,4
409,Teorie spolehlivosti [14TSPO],4,4
410,Termohydraulický návrh jaderných zařízení 1 [17THNJ1],26,9
411,Termohydraulický návrh jaderných zařízení 3 [17THNJ3],17,2
412,Termohydraulický návrh jaderných zařízení 4 [17THNJ4],5,1
413,Termomechanika reaktorů [17TERR],2,2
414,Topologie [01TOP],1,1
415,Toxikologie [15TOX],6,6
416,Tvorba internetových aplikací 1 [818INT1],8,5
417,Týmový vývoj softwaru 1 [818TVS1],2,0
418,Týmový vývoj softwaru 3 [818TVS3],4,2
419,Urychlovače částic [02UC],8,7
420,Úvod do aplikací ionizujícího záření [16UAZ],1,0
421,Úvod do částicové fyziky [16UCF],5,5
422,Úvod do ekologie [16ZIVB],8,8
423,Úvod do fotochemie a fotobiologie [15UFCB],1,0
424,Úvod do fyziky elementárních částic [02UFEC],62,48
425,Úvod do inženýrství [17UINZ],38,27
426,Úvod do laserové techniky [12ULAT],23,20
427,Úvod do laserové techniky [12ULT],3,3
428,Úvod do mainframe [01UMF],2,0
429,Úvod do managementu [12UM],9,5
430,Úvod do objektové architektury [18UOA],3,0
431,Úvod do objektového programování [01UOP],10,6
432,Úvod do odborného jazyka 1 [04ABU1],34,10
433,Úvod do pokročilých algoritmů 1 [18UIA1],2,1
434,Úvod do práva 1 [818UPRA1],3,1
435,Úvod do projektování jaderných zařízení [17PROJ],5,5
436,Úvod do radiační fyziky [16URF],4,3
437,Úvod do radiační fyziky 1 [16URF1],7,4
438,Úvod do strun 1 [02UST1],7,6
439,Úvod do systému řízení jakosti ve zdravotnictví [16USRJ],7,5
440,Úvod do životního prostředí [16ZIVO],6,5
441,Vakuová fyzika a technika [12VAK],23,12
442,Variační metody [01VAM],15,9
443,Variační metody B [01VAMB],7,6
444,Vědecké programování v Pythonu [12PYTH],12,0
445,Vláknové lasery a zesilovače [12VLA],11,8
446,"Vlnění, optika a atomová fyzika [02VOAF]",150,71
447,Vnitřní dynamika materiálů [11VDM],7,6
448,Vnitřní dynamika materiálů [11VDYM],4,4
449,Vybrané aspekty rozvoje nových jaderných zdrojů [17XRJZ],1,0
450,Vybrané kapitoly z moderní optiky [12MODO],3,1
451,Vybrané partie z dozimetrie [16VYPD],7,6
452,Vybrané partie ze statistické fyziky a termodynamiky [02VPSF],10,8
453,Vybrané partie z funkcionální analýzy [01VPF],14,10
454,Výjezdní seminář EJF1 [02EJFS1],14,0
455,Výjezdní seminář EJF2 [02EJFS2],8,1
456,Výjezdní seminář EJF3 [02EJFS3],9,0
457,Využívání výzkumných reaktoru pro výzkum a průmysl [17VYRR],6,5
458,Výzkumné reaktory [17VYR],2,2
459,Zahr. stáž v rámci programů výměny studentů přes rektorát [00ZST1],5,5
460,"Základy biologie, anatomie a fyziologie člověka 1 [16ZBAF1]",18,14
461,Základy dozimetrie [16ZDOZ1],9,7
462,Základy ekonomického hodnocení [17ZEH],2,2
463,Základy elektrodynamiky [12ZELD],31,17
464,Základy elektroniky [17ZEL],23,7
465,Základy elektroniky 1 [12ZEL1],34,16
466,Základy energetiky a zdroje energie [17EZE],6,3
467,Základy fyzikálních měření 1 [02ZFM1],114,81
468,Základy fyziky jaderných reaktorů 1 [17ZAF1],24,14
469,Základy fyziky kondenzovaných látek 1 [11ZFKL1],6,0
470,Základy fyziky laserového plazmatu [12ZFLP],4,3
471,Základy fyziky pevných látek [11ZFPL],4,4
472,Základy jaderné bezpečnosti [17ZJBE],6,6
473,Základy jaderné fyziky [02ZJF],23,21
474,Základy jaderné fyziky B [02ZJFB],14,6
475,Základy metrologie ionizujícího záření [16MEZB],9,1
476,Základy optiky [12ZAOP],14,10
477,Základy počítačové bezpečnosti 2 [01ZPB2],6,3
478,Základy práce s počítačem [16ZPSP],35,8
479,Základy preventivního lékařství pro techniky [16HEB],5,4
480,Základy programování [18ZPRO],282,121
481,Základy programování [818ZPRO],12,6
482,Základy první pomoci [16ZPP],13,9
483,Základy první pomoci pro techniky [16ZPPB],6,5
484,Základy radiační ochrany [16RAOB],9,2
485,Základy radiační ochrany [16ZRAO],32,12
486,Základy teorie elektroslabých interakcí [02ZESI],12,8
487,Základy teorie grafů [01ZTG],23,11
488,Základy teorie grafů A [01ZTGA],2,2
489,Základy zpracování experimentálních dat [16ZEDB],1,0
490,Zápis bez předmětů [00Z1],17,0
491,Zařízení jaderné techniky [16ZJT],10,2
492,Závěrečná praxe [17PRAXB],5,5
493,Závěrečná předdiplomní praxe [17PRAXD],8,8
494,Zimní škola fyziky plazmatu a termojaderné fúze [02ZLSTF1],5,4
495,Zimní škola matematické fyziky [02ZS],4,2
496,Znalostní ekonomika [18ZNEK],2,2
497,Znalostní ekonomika [818ZNEK],9,7
498,Zpracování a rozpoznávání obrazu 2 [01ROZP2],17,17
499,Zpracování dat pro publikování [12ZDP],3,2
500,Zpracování dat pro publikování [818ZDP],9,7
501,Zpracování experimentálních dat [16ZED],1,0
502,Zpracování měření a dat [12ZMD],8,7
