,name,enrolled,passed
242,Praktikum z radiačních metod v biologii a medicíně [15PRMB],4,3
243,Praktikum z radioanalytických metod [15PRAM],7,5
244,Pravděpodobnost a matematická statistika 2 [01PRA2],18,15
245,Pravděpodobnost a statistika [818PST],11,8
246,Praxe [02PRX],5,3
247,Praxe [15PRAKN],10,9
248,Principy integrujících dozimetrických metod [16IDOB],9,6
249,Problémový seminář [12PSEM],25,9
250,Programování pro mainframe [01PMF],4,2
251,Programování pro mobilní telefony na platformě J2ME [818PMT],2,1
252,Programování v C++ 2 [18PRC2],57,21
253,Programování v C++ 2 [818PRC2],11,8
254,Programování v Javě 2 [818JAV2],7,5
255,Programování v Pascalu [18PAS],5,3
256,Programovatelná logická pole [17PLP],1,1
257,Projektové praktikum 2 [02PPRA2],12,11
258,Projektové řízení [818PR],2,2
259,Projektové řízení ekonomických systémů [18REK],13,9
260,Provozní reaktorová fyzika [17PRF],12,8
261,Provozní stavy jaderných reaktorů [17PSJR],8,6
262,Předdiplomní seminář [01DSEMI],30,28
263,Předdiplomní seminář [17DSEM],12,12
264,Přehled právních předpisů ve zdravotnictví [16TZPB],6,6
265,Přibližné výpočty v kvantové mechanice 2 [02NVKM2],8,5
266,Příprava polovodičových nanostruktur [12PN],5,4
267,Přípravný kurz z matematiky 2 [818PKM2],10,7
268,Publikační systém LaTeX [01PSL],63,39
269,Radiační chemie [15RACH],9,6
270,Radiační metody v biologii a medicíně [15RMBM],8,8
271,Radiační ochrana jaderných zařízení [17ROJ],13,13
272,Radioaktivní odpady [17RAO],14,14
273,Radioanalytické metody [15RAM],10,6
274,Radiobiologie [16RBIO],11,8
275,Radiochemie stop [15STP],9,8
276,Radiologická fyzika-radioterapie 1 [16RFRT1],8,5
277,Radiologická technika-radioterapie [16RTRT],8,0
278,Radionuklidy v životním prostředí [16RZP],1,1
279,Radioterapie - klinická praxe pro techniky [16RTKB],6,0
280,Radioterapie-klinická praxe 1 [16RTKP1],9,6
281,Reaktorové praktikum [17REPR],11,9
282,Relativistická fyzika 2 [02REL2],5,2
283,Rétorika [00RET],26,24
284,Robustní numerické algoritmy [12RNA],4,2
285,Ročníková práce 2 [12ROPR2],6,2
286,Rozhovory o kvark-gluonovém plazmatu 2 [02RQGP2],8,7
287,Rozhovory o kvark-gluonovém plazmatu 4 [02RQGP4],8,7
288,Rozhovory o kvark-gluonovém plazmatu 6 [02RQGP6],5,5
289,Rozvíjení řečových dovedností 2 [04ABK2],14,10
290,Ruština M2 [04RM2],5,4
291,Ruština P2 [04RP2],1,1
292,Ruština Z1 [04RZ1],31,22
293,Ruština Z3 [04RZ3],13,8
294,Ruština Z5 [04RZ5],20,16
295,Řešitelné modely matematické fyziky [02RMMF],6,6
296,Řízení diskrétních systémů [18RDS],3,2
297,Semestrální práce [16SEPB],8,5
298,Seminář [14SEM],8,8
299,Seminář [16SEM],6,6
300,Seminář [16SEMA],13,13
301,Seminář FTTF2 [02STF2],7,6
302,Seminář k bakalářské práci [01BSEM],42,38
303,Seminář k bakalářské práci [12SBP],13,13
304,Seminář k bakalářské práci [18SBAK],3,2
305,Seminář k bakalářské práci [818SBAK],9,4
306,Seminář k bakalářské práci 2 [12SBA2],2,1
307,Seminář k diplomové práci 2 [12DSEIF2],3,3
308,Seminář k diplomové práci 2 [12DSELT2],6,6
309,Seminář k diplomové práci 2 [12DSEOF2],12,12
310,Seminář k diplomové práci 2 [18SDI2],12,11
311,Seminář současné matematiky 2 [01SSM2],18,18
312,Seminář teorie pevných látek [11STPL],4,4
313,Seminář z dozimetrie 2 [16SED2],13,12
314,Seminář z matematické analýzy B2 [01SMB2],60,53
315,Seminář 2 [02SEMI2],8,8
316,Seminář 2 [11SMI2],3,3
317,Seminář 2 [15SEM2],7,7
318,Seminář 2 [16SEM2],6,5
319,Seminář 4 [11SMI4],2,2
320,Separační metody v jaderné chemii 2 [15SMJ2],1,1
321,Simulace provozních stavů JE [17SIPS],7,1
322,Softwarový projekt 2 [01SWP2],1,0
323,Softwarový seminář 2 [01SOS2],20,17
324,Specializované praktikum 2 [02SPRA2],1,0
325,Speciální funkce a trasformace ve zpracování obrazu [01SFTO],23,10
326,Spolehlivost systémů a klinické experimenty [01SKE],9,7
327,Správa mainframe [01SMF],9,4
328,Správa operačních systémů [18OS],13,10
329,Stanovení radionuklidů v životním prostředí [15SRZP],3,2
330,Statistická teorie rozhodování [01STR],9,4
331,Statistické metody a jejich aplikace [01SM],15,8
332,Struktura pevných látek 2 [11SPL2],5,4
333,Strukturní analýza [15STA],2,1
334,Studentská vědecká konference [01SVK],6,5
335,Subatomová fyzika 2 [02SF2],17,14
336,Systematizace jazykových prostředků 2 [04ABS2],14,10
337,Španělština M2 [04SM2],4,2
338,Španělština P2 [04SP2],1,1
339,Španělština Z1 [04SZ1],27,13
340,Španělština Z3 [04SZ3],10,6
341,Španělština Z5 [04SZ5],10,8
342,Technické a zdravotnické právní předpisy [16TZP],6,6
343,Technika a aplikace iontových svazků [12TAIS],2,0
344,Technika termojaderných zařízení [02TTJZ],3,3
345,Technologie jaderných materiálů [15TJM],2,2
346,Tělesná výchova 2 [818TV2],7,3
347,Tělesná výchova 4 [818TV4],4,1
348,Teoretická fyzika 2 [02TEF2],114,80
349,Teorie čísel [01TC],11,7
350,Teorie dynamických systémů [01DYSY],6,4
351,Teorie elektromagnetického pole a vlnění [15POLE],10,4
352,Teorie kódování [01TKO],9,5
353,Teorie kódování B [01TKOB],13,6
354,Teorie kódování B [818KOD],7,6
355,Teorie matic [01TEMA],12,12
356,Teorie pevných látek 1 [11TPL1],1,1
357,Teorie pevných látek 2 [11TPL2],3,3
358,Teorie plasticity [D14TP],2,0
359,Teorie plazmatu 2 [02TPLA2],10,8
360,Termika a molekulová fyzika [02TER],174,88
361,Termodynamika a statistická fyzika [02TSFA],105,65
362,Termohydraulický návrh jaderných zařízení 2 [17THNJ2],38,10
363,Termomechanika jaderného paliva [17TMP],8,2
364,Transportní jevy/Nerovnovážné systémy [02TJNS],5,5
365,Tvorba internetových aplikací [18INTA],22,15
366,Tvorba internetových aplikací 2 [818INT2],8,5
367,Týmový vývoj softwaru 2 [818TVS2],10,6
368,Únava materiálů [14UNMA],4,2
369,Úvod do dynamiky kontinua [01DYK],19,17
370,Úvod do energetiky [17UEN],7,6
371,Úvod do fyziky pevných látek [11UFPL],6,1
372,Úvod do fyziky pevných látek [11UFPLN],57,26
373,Úvod do fyziky scintilátorů a fosforů [16FSC],1,1
374,Úvod do chemie a fyziky polymerních látek [11CFPL],1,0
375,Úvod do kryptologie [01UKRY],5,0
376,Úvod do křivek a ploch [02UKP],27,12
377,Úvod do moderní fyziky [12UMF],13,4
378,Úvod do odborného jazyka 2 [04ABU2],13,10
379,Úvod do palivového cyklu [17UPC],7,7
380,Úvod do práva [00UPRA],43,36
381,Úvod do práva 2 [818UPRA2],7,7
382,Úvod do psychologie [00UPSY],41,21
383,Úvod do radiační fyziky [16URF],2,0
384,Úvod do radiační fyziky 2 [16URF2],15,5
385,Úvod do radiační ochrany jaderných zařízení [17URO],13,12
386,Úvod do teoretické informatiky [01UTI],10,9
387,Úvod do termojaderné fúze [02UFU],9,6
388,Užitá jaderná fyzika [02UJF],1,1
389,Variační metody - úvod [00VAM],1,1
390,Vědeckotechnické výpočty [12VTV],5,2
391,Vybrané kapitoly z nanostruktur [12VKNS],2,1
