,name,enrolled,passed
383,Technologické celky jaderných elektráren 2 [17TCJ2],10,4
384,Technologie palivového cyklu jaderných elektráren [15TPC],5,4
385,Technologie zpracování odpadů [15TZO],1,0
386,Tělesná výchova 1 [818TV1],7,7
387,Tělesná výchova 3 [818TV3],2,2
388,Teoretická fyzika 1 [02TEF1],100,66
389,Teoretické základy radiační chemie [15TZRCH],1,0
390,Teorie a konstrukce fotovoltaických článků [11PCPC],1,0
391,Teorie finančních trhů [18TFT],13,7
392,Teorie informace [01TIN],32,19
393,Teorie náhodných matic [01TNM],12,9
394,Teorie náhodných procesů [01NAH],28,20
395,Teorie pevných látek 1 [11TPL1],4,4
396,Teorie plasticity [D14TP],4,2
397,Teorie plazmatu 1 [02TPLA1],10,8
398,Teorie složitosti [01TSLO],14,4
399,Teorie spolehlivosti [14TSPO],10,10
400,Termohydraulický návrh jaderných zařízení 1 [17THNJ1],33,13
401,Termohydraulický návrh jaderných zařízení 3 [17THNJ3],27,6
402,Termohydraulický návrh jaderných zařízení 4 [17THNJ4],14,2
403,Termomechanika reaktorů [17TERR],11,7
404,Topologie [01TOP],7,4
405,Toxikologie [15TOX],8,4
406,Tvorba doménově specifických jazyků [18DTJ],1,1
407,Tvorba internetových aplikací 1 [818INT1],8,7
408,Týmový vývoj softwaru 1 [818TVS1],13,0
409,Urychlovače částic [02UC],7,1
410,Úvod do aplikací ionizujícího záření [16UAZ],11,7
411,Úvod do bioinformatiky [01UBIO],10,5
412,Úvod do částicové fyziky [16UCF],1,1
413,Úvod do ekologie [16ZIVB],9,9
414,Úvod do fotochemie a fotobiologie [15UFCB],1,0
415,Úvod do fyziky elementárních částic [02UFEC],44,37
416,Úvod do inženýrství [17UINZ],48,5
417,Úvod do laserové techniky [12ULAT],11,10
418,Úvod do laserové techniky [12ULT],8,3
419,Úvod do mainframe [01UMF],8,5
420,Úvod do managementu [12UM],15,8
421,Úvod do objektové architektury [18UOA],10,0
422,Úvod do objektového programování [01UOP],11,6
423,Úvod do odborného jazyka 1 [04ABU1],41,15
424,Úvod do pokročilých algoritmů 1 [18UIA1],7,2
425,Úvod do práva 1 [818UPRA1],12,10
426,Úvod do projektování jaderných zařízení [17PROJ],11,11
427,Úvod do radiační fyziky 1 [16URF1],28,5
428,Úvod do systému řízení jakosti ve zdravotnictví [16USRJ],9,8
429,Úvod do zaměření [11UVOD],19,15
430,Úvod do životního prostředí [16ZIVO],11,10
431,Vakuová fyzika a technika [12VAK],20,0
432,Variační metody [01VAM],18,15
433,Variační metody B [01VAMB],14,11
434,Vědecké programování v Pythonu [12PYTH],8,0
435,Vláknové lasery a zesilovače [12VLA],8,5
436,"Vlnění, optika a atomová fyzika [02VOAF]",113,55
437,Vlnové jevy v pevných látkách [14VLN],7,6
438,Vnitřní dynamika materiálů [11VDM],9,0
439,Vnitřní dynamika materiálů [11VDYM],1,0
440,Vnitřní dynamika materiálů [14VDYM],0,0
441,Vybrané kapitoly z moderní optiky [12MODO],4,3
442,Vybrané partie z dozimetrie [16VYPD],8,7
443,Vybrané partie ze statistické fyziky a termodynamiky [02VPSF],7,6
444,Vyčíslitelnost a matematická logika [01VYML],7,3
445,Výjezdní seminář EJF1 [02EJFS1],17,0
446,Výjezdní seminář EJF2 [02EJFS2],10,9
447,Výjezdní seminář EJF3 [02EJFS3],8,8
448,Zahr. stáž v rámci programů výměny studentů přes rektorát [00ZST1],5,5
449,Základy aplikací ionizujícího záření ve vědě a technice [16ZAIZ],1,0
450,"Základy biologie, anatomie a fyziologie člověka 1 [16ZBAF1]",19,8
451,Základy dozimetrie [16ZDOZ1],14,6
452,Základy ekonomického hodnocení [17ZEH],8,6
453,Základy elektrodynamiky [12ZELD],20,17
454,Základy elektroniky [17ZEL],23,7
455,Základy elektroniky 1 [12ZEL1],62,40
456,Základy energetiky a zdroje energie [17EZE],8,5
457,Základy fyzikálních měření 1 [02ZFM1],159,107
458,Základy fyziky jaderných reaktorů [17ZAFP],1,0
